Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-01 07:00,2024-07-01 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-02 07:00,2024-07-02 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-02 17:00,2024-07-02 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-03 07:00,2024-07-03 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-03 17:00,2024-07-03 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-04 07:00,2024-07-04 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-04 17:00,2024-07-04 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-05 07:00,2024-07-05 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-05 17:00,2024-07-05 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-07 07:00,2024-07-07 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-09 07:00,2024-07-09 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-09 17:00,2024-07-09 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-10 07:00,2024-07-10 08:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-10 17:00,2024-07-10 22:00
UBCV,2023-2024,FSC,Forest Sciences Centre,1003,General,2024-07-11 07:00,2024-07-11 08:00
