Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-01 07:00,2024-07-01 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-01 12:00,2024-07-01 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-02 07:00,2024-07-02 12:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-02 19:00,2024-07-02 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-03 07:00,2024-07-03 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-03 16:00,2024-07-03 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-04 07:00,2024-07-04 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-05 07:00,2024-07-05 12:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-05 16:00,2024-07-05 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-07 07:00,2024-07-07 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-07 16:00,2024-07-07 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-08 19:00,2024-07-08 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-10 07:00,2024-07-10 14:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-10 16:00,2024-07-10 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-01 07:00,2024-07-01 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-02 07:00,2024-07-02 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-02 15:30,2024-07-02 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-03 07:00,2024-07-03 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-03 15:30,2024-07-03 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-04 07:00,2024-07-04 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-04 15:30,2024-07-04 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-05 07:00,2024-07-05 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-07 07:00,2024-07-07 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-08 07:00,2024-07-08 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-08 15:30,2024-07-08 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-09 07:00,2024-07-09 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-09 15:30,2024-07-09 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-10 07:00,2024-07-10 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-10 15:30,2024-07-10 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-11 07:00,2024-07-11 13:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-11 15:30,2024-07-11 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-01 07:00,2024-07-01 09:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-01 16:00,2024-07-01 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-02 07:00,2024-07-02 09:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-02 16:00,2024-07-02 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-03 07:00,2024-07-03 09:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-03 16:00,2024-07-03 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-04 07:00,2024-07-04 09:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-04 16:00,2024-07-04 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-05 07:00,2024-07-05 09:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-05 16:00,2024-07-05 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-06 07:00,2024-07-06 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2202,General,2024-07-07 07:00,2024-07-07 22:00
