Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-06 07:00,2025-01-06 09:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-06 12:00,2025-01-06 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-06 16:00,2025-01-06 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-07 07:00,2025-01-07 08:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-07 11:30,2025-01-07 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-07 16:00,2025-01-07 16:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-07 19:30,2025-01-07 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-08 07:00,2025-01-08 08:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-08 16:00,2025-01-08 16:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-08 19:30,2025-01-08 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-09 07:00,2025-01-09 09:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-09 12:30,2025-01-09 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-09 17:00,2025-01-09 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-10 07:00,2025-01-10 09:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-10 11:00,2025-01-10 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-10 16:00,2025-01-10 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-13 07:00,2025-01-13 09:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-13 12:00,2025-01-13 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-13 16:00,2025-01-13 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-14 07:00,2025-01-14 08:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-14 11:30,2025-01-14 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-14 16:00,2025-01-14 16:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-14 19:30,2025-01-14 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-15 07:00,2025-01-15 08:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-15 16:00,2025-01-15 16:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-15 19:30,2025-01-15 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-16 07:00,2025-01-16 09:30
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-16 12:30,2025-01-16 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-16 17:00,2025-01-16 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-17 07:00,2025-01-17 09:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-17 11:00,2025-01-17 13:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-17 16:00,2025-01-17 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,HEBB,Hebb,216,Restricted,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-06 07:00,2025-01-06 09:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-06 12:00,2025-01-06 13:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-06 16:00,2025-01-06 16:30
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-06 19:30,2025-01-06 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-07 07:00,2025-01-07 09:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-07 12:00,2025-01-07 13:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-07 16:00,2025-01-07 16:30
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-07 19:30,2025-01-07 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-08 07:00,2025-01-08 08:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-08 16:00,2025-01-08 16:30
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-08 19:30,2025-01-08 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-09 07:00,2025-01-09 09:30
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-09 12:30,2025-01-09 13:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-09 17:00,2025-01-09 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-10 07:00,2025-01-10 10:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-10 11:00,2025-01-10 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-13 07:00,2025-01-13 09:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-13 12:00,2025-01-13 13:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-13 16:00,2025-01-13 16:30
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-13 19:30,2025-01-13 22:00
UBCV,2024-2025,HEBB,Hebb,218,Restricted,2025-01-14 07:00,2025-01-14 09:00
