Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-06 07:00,2025-01-06 14:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-06 15:30,2025-01-06 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-07 07:00,2025-01-07 11:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-07 12:30,2025-01-07 15:30
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-07 17:00,2025-01-07 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-08 07:00,2025-01-08 09:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-08 12:00,2025-01-08 14:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-08 15:30,2025-01-08 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-09 07:00,2025-01-09 11:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-09 12:30,2025-01-09 15:30
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-09 17:00,2025-01-09 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-10 07:00,2025-01-10 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-11 07:00,2025-01-11 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-12 07:00,2025-01-12 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-13 07:00,2025-01-13 14:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-13 15:30,2025-01-13 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-14 07:00,2025-01-14 11:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-14 12:30,2025-01-14 15:30
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-14 17:00,2025-01-14 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-15 07:00,2025-01-15 09:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-15 12:00,2025-01-15 14:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-15 15:30,2025-01-15 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-16 07:00,2025-01-16 11:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-16 12:30,2025-01-16 15:30
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-16 17:00,2025-01-16 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-17 07:00,2025-01-17 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,130,Restricted,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,316,Restricted,2025-01-06 07:00,2025-01-06 22:00
UBCV,2024-2025,LIU,Liu Institute for Global Issues,316,Restricted,2025-01-07 07:00,2025-01-07 09:30
