Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-17 07:00,2024-12-17 08:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-17 11:30,2024-12-17 22:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-19 07:00,2024-12-19 11:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-19 14:00,2024-12-19 22:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MATH,Mathematics,100,General,2024-12-22 07:00,2024-12-22 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-09 07:00,2024-12-09 12:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-09 14:30,2024-12-09 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-10 07:00,2024-12-10 15:30
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-10 17:00,2024-12-10 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-11 07:00,2024-12-11 13:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-11 14:30,2024-12-11 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-12 07:00,2024-12-12 09:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-12 10:30,2024-12-12 15:30
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-12 17:00,2024-12-12 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-13 07:00,2024-12-13 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-14 07:00,2024-12-14 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-15 07:00,2024-12-15 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-16 07:00,2024-12-16 09:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-16 18:00,2024-12-16 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-17 07:00,2024-12-17 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-19 07:00,2024-12-19 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MATH,Mathematics,104,General,2024-12-22 07:00,2024-12-22 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-09 07:00,2024-12-09 13:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-09 14:30,2024-12-09 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-10 07:00,2024-12-10 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-11 07:00,2024-12-11 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-12 07:00,2024-12-12 12:30
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-12 14:00,2024-12-12 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-13 07:00,2024-12-13 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-14 07:00,2024-12-14 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-15 07:00,2024-12-15 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-16 07:00,2024-12-16 15:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-16 16:30,2024-12-16 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-17 07:00,2024-12-17 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-19 07:00,2024-12-19 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MATH,Mathematics,105,General,2024-12-22 07:00,2024-12-22 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-09 07:00,2024-12-09 12:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-09 13:30,2024-12-09 14:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-09 17:00,2024-12-09 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-10 07:00,2024-12-10 12:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-10 13:30,2024-12-10 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-11 07:00,2024-12-11 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-12 07:00,2024-12-12 16:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-12 17:30,2024-12-12 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-13 07:00,2024-12-13 12:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-13 13:30,2024-12-13 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-14 07:00,2024-12-14 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-15 07:00,2024-12-15 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-16 07:00,2024-12-16 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-17 07:00,2024-12-17 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-19 07:00,2024-12-19 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-12-22 07:00,2024-12-22 22:00
