Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-09 17:00,2024-12-09 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-10 07:00,2024-12-10 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-11 07:00,2024-12-11 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-12 07:00,2024-12-12 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-13 07:00,2024-12-13 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-14 07:00,2024-12-14 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-15 07:00,2024-12-15 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-16 07:00,2024-12-16 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-17 07:00,2024-12-17 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-19 07:00,2024-12-19 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MCLD,MacLeod,3014,General,2024-12-22 07:00,2024-12-22 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-09 07:00,2024-12-09 14:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-09 17:00,2024-12-09 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-10 07:00,2024-12-10 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-11 07:00,2024-12-11 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-12 07:00,2024-12-12 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-13 07:00,2024-12-13 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-14 07:00,2024-12-14 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-15 07:00,2024-12-15 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-16 07:00,2024-12-16 14:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-16 16:00,2024-12-16 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-17 07:00,2024-12-17 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-18 07:00,2024-12-18 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-19 07:00,2024-12-19 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-20 07:00,2024-12-20 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-21 07:00,2024-12-21 22:00
UBCV,2024-2025,MCLD,MacLeod,3018,General,2024-12-22 07:00,2024-12-22 22:00
