Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-25 07:00,2024-11-25 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-25 11:00,2024-11-25 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-26 07:00,2024-11-26 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-26 12:30,2024-11-26 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-27 07:00,2024-11-27 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-27 11:00,2024-11-27 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-27 17:00,2024-11-27 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-28 07:00,2024-11-28 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-28 12:30,2024-11-28 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-29 07:00,2024-11-29 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-29 12:30,2024-11-29 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-11-30 07:00,2024-11-30 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-01 07:00,2024-12-01 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-02 07:00,2024-12-02 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-02 11:00,2024-12-02 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-03 07:00,2024-12-03 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-03 12:30,2024-12-03 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-04 07:00,2024-12-04 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-04 11:00,2024-12-04 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-04 17:00,2024-12-04 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-05 07:00,2024-12-05 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-05 12:30,2024-12-05 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-06 07:00,2024-12-06 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-06 12:30,2024-12-06 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-07 07:00,2024-12-07 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-12-08 07:00,2024-12-08 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,210,Restricted,2024-11-25 07:00,2024-11-25 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,210,Restricted,2024-11-25 17:00,2024-11-25 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,210,Restricted,2024-11-26 07:00,2024-11-26 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,210,Restricted,2024-11-26 17:00,2024-11-26 22:00
