Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-02 07:00,2024-09-02 14:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-02 16:00,2024-09-02 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-03 07:00,2024-09-03 09:30
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-03 10:30,2024-09-03 11:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-03 12:30,2024-09-03 14:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-03 16:00,2024-09-03 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-04 07:00,2024-09-04 14:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-04 15:30,2024-09-04 17:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-04 20:00,2024-09-04 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-05 10:30,2024-09-05 11:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-05 12:30,2024-09-05 14:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-05 16:00,2024-09-05 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-06 07:00,2024-09-06 09:30
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-06 12:30,2024-09-06 13:30
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-06 15:00,2024-09-06 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,ALRD,Allard Hall,104,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-26 07:00,2024-08-26 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-27 07:00,2024-08-27 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-02 07:00,2024-09-02 09:30
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-02 12:30,2024-09-02 14:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-02 16:00,2024-09-02 17:30
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-02 20:30,2024-09-02 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-03 07:00,2024-09-03 09:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-03 10:30,2024-09-03 11:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-03 12:30,2024-09-03 14:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-03 16:00,2024-09-03 17:30
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-03 20:30,2024-09-03 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-04 07:00,2024-09-04 09:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-04 12:30,2024-09-04 14:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-04 16:00,2024-09-04 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-05 07:00,2024-09-05 09:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-05 10:30,2024-09-05 11:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-05 12:30,2024-09-05 14:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-05 16:00,2024-09-05 22:00
UBCV,2024-2025,ALRD,Allard Hall,106,Restricted,2024-09-06 07:00,2024-09-06 09:00
