Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-02 07:00,2024-09-02 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-02 11:00,2024-09-02 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-02 13:00,2024-09-02 14:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-02 15:30,2024-09-02 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-02 17:00,2024-09-02 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-03 07:00,2024-09-03 07:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-03 17:00,2024-09-03 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-03 18:30,2024-09-03 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-04 07:00,2024-09-04 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-04 11:00,2024-09-04 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-04 15:30,2024-09-04 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-05 18:30,2024-09-05 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-06 07:00,2024-09-06 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-06 15:00,2024-09-06 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-06 17:00,2024-09-06 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-08 07:00,2024-09-08 22:00
