Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,MATH,Mathematics,105,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-02 07:00,2024-09-02 10:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-02 12:30,2024-09-02 13:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-02 14:00,2024-09-02 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-03 07:00,2024-09-03 07:30
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-03 13:30,2024-09-03 09:30
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-03 11:00,2024-09-03 12:30
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-04 07:00,2024-09-04 10:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-04 12:30,2024-09-04 14:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-05 11:00,2024-09-05 12:30
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-06 07:00,2024-09-06 10:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-06 12:30,2024-09-06 13:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-06 16:00,2024-09-06 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,MATH,Mathematics,202,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-02 07:00,2024-09-02 10:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-02 12:00,2024-09-02 15:30
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-02 16:30,2024-09-02 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-03 07:00,2024-09-03 07:30
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-03 09:00,2024-09-03 09:30
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-03 15:30,2024-09-03 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-04 07:00,2024-09-04 10:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-04 12:00,2024-09-04 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-05 15:30,2024-09-05 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-06 07:00,2024-09-06 10:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-06 16:00,2024-09-06 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,MATH,Mathematics,204,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-26 07:00,2024-08-26 08:30
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-26 16:00,2024-08-26 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-27 07:00,2024-08-27 08:30
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-27 16:00,2024-08-27 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-28 07:00,2024-08-28 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-29 07:00,2024-08-29 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-30 07:00,2024-08-30 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-01 07:00,2024-09-01 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-02 07:00,2024-09-02 09:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-02 10:00,2024-09-02 14:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-02 15:00,2024-09-02 16:30
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-02 19:30,2024-09-02 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-03 07:00,2024-09-03 09:30
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-03 12:30,2024-09-03 13:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-03 17:00,2024-09-03 14:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-03 15:30,2024-09-03 16:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-04 07:00,2024-09-04 09:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-04 12:00,2024-09-04 14:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-04 15:00,2024-09-04 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-05 12:30,2024-09-05 15:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-06 07:00,2024-09-06 09:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-06 12:00,2024-09-06 14:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-06 17:00,2024-09-06 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,MATH,Mathematics,225,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-02 07:00,2024-09-02 09:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-02 11:00,2024-09-02 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-03 07:00,2024-09-03 10:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-03 11:00,2024-09-03 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-04 07:00,2024-09-04 09:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-04 11:00,2024-09-04 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-05 07:00,2024-09-05 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-06 07:00,2024-09-06 09:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-06 11:00,2024-09-06 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,MATH,Mathematics,102,Restricted,2024-09-08 07:00,2024-09-08 22:00
