Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-04 11:00,2024-11-04 13:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-04 15:30,2024-11-04 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-05 07:00,2024-11-05 10:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-05 12:00,2024-11-05 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-05 17:00,2024-11-05 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-06 15:30,2024-11-06 17:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-07 07:00,2024-11-07 10:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-07 12:00,2024-11-07 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-08 12:00,2024-11-08 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-11 11:00,2024-11-11 13:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-11 15:30,2024-11-11 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-12 07:00,2024-11-12 10:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-12 12:00,2024-11-12 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-12 17:00,2024-11-12 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-13 15:30,2024-11-13 17:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-13 20:00,2024-11-13 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-14 07:00,2024-11-14 10:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-14 12:00,2024-11-14 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-14 17:00,2024-11-14 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-15 12:00,2024-11-15 12:30
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,EOS,Earth and Ocean Sciences,135,General,2024-11-17 07:00,2024-11-17 22:00
