Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-16 07:00,2024-09-16 09:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-16 11:00,2024-09-16 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-17 07:00,2024-09-17 08:30
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-17 11:30,2024-09-17 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-18 07:00,2024-09-18 14:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-18 16:00,2024-09-18 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-19 07:00,2024-09-19 14:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-19 16:00,2024-09-19 17:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-19 19:00,2024-09-19 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-20 07:00,2024-09-20 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-21 07:00,2024-09-21 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-22 07:00,2024-09-22 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-23 07:00,2024-09-23 09:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-23 11:00,2024-09-23 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-24 07:00,2024-09-24 08:30
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-24 11:30,2024-09-24 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-25 07:00,2024-09-25 14:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-25 16:00,2024-09-25 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-26 07:00,2024-09-26 14:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-26 16:00,2024-09-26 17:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-26 19:00,2024-09-26 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-27 07:00,2024-09-27 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G1,Restricted,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G3,Restricted,2024-09-16 07:00,2024-09-16 11:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G3,Restricted,2024-09-16 15:00,2024-09-16 16:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G3,Restricted,2024-09-16 18:00,2024-09-16 22:00
UBCV,2024-2025,OSB2,Robert F. Osborne Centre,125G3,Restricted,2024-09-17 07:00,2024-09-17 11:00
