Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-18 12:00,2024-07-18 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-19 07:00,2024-07-19 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3052,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-09 07:00,2024-07-09 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-09 17:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-10 07:00,2024-07-10 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-10 17:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-11 07:00,2024-07-11 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-11 17:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-12 07:00,2024-07-12 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-12 17:00,2024-07-12 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-15 13:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3016,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-12 07:00,2024-07-12 16:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-15 13:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3004,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-16 07:00,2024-07-16 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-17 07:00,2024-07-17 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-18 07:00,2024-07-18 08:30
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-18 12:30,2024-07-18 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-19 07:00,2024-07-19 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3002,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-08 07:00,2024-07-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-08 13:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-09 07:00,2024-07-09 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-09 13:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-10 07:00,2024-07-10 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-10 13:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-11 13:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-12 07:00,2024-07-12 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-12 13:00,2024-07-12 16:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-16 07:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-17 07:00,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-18 07:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3068,General,2024-07-21 07:00,2024-07-21 12:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-08 07:00,2024-07-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-08 13:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-09 07:00,2024-07-09 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-09 13:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-10 07:00,2024-07-10 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-10 13:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-11 13:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-12 07:00,2024-07-12 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-12 13:00,2024-07-12 16:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-16 07:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-17 07:00,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-18 07:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3062,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-08 07:00,2024-07-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-08 13:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-09 07:00,2024-07-09 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-09 13:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-10 07:00,2024-07-10 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-10 13:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-11 13:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-12 07:00,2024-07-12 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-12 13:00,2024-07-12 16:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-16 12:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-17 07:00,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-18 12:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,3072,General,2024-07-21 07:00,2024-07-21 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-08 07:00,2024-07-08 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-08 13:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-09 07:00,2024-07-09 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-09 13:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-10 07:00,2024-07-10 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-10 13:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-11 13:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-12 07:00,2024-07-12 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-12 13:00,2024-07-12 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-15 13:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-16 13:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-17 13:00,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-18 13:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-19 13:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,4062,General,2024-07-21 07:00,2024-07-21 14:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-15 13:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-20 07:00,2024-07-20 18:00
UBCV,2023-2024,ORCH,Orchard Commons,4052,General,2024-07-21 07:00,2024-07-21 12:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-10 07:00,2024-07-10 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-10 16:30,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-11 07:00,2024-07-11 13:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-11 16:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-12 07:00,2024-07-12 16:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-15 07:00,2024-07-15 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-15 13:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-16 13:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-18 16:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-19 07:00,2024-07-19 09:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-19 13:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,ORCH,Orchard Commons,3058,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-11 07:00,2024-07-11 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-15 07:00,2024-07-15 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-15 17:00,2024-07-15 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-16 07:00,2024-07-16 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-16 17:00,2024-07-16 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-17 07:00,2024-07-17 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-17 17:00,2024-07-17 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-18 07:00,2024-07-18 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-18 17:00,2024-07-18 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-19 07:00,2024-07-19 08:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-19 17:00,2024-07-19 22:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-20 07:00,2024-07-20 12:00
UBCV,2023-2024,ORCH,Orchard Commons,4002,General,2024-07-21 07:00,2024-07-21 12:00
