Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-22 07:00,2024-07-22 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-22 16:00,2024-07-22 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-23 07:00,2024-07-23 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-23 16:00,2024-07-23 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-24 07:00,2024-07-24 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-24 16:00,2024-07-24 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-25 07:00,2024-07-25 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-25 16:00,2024-07-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-26 07:00,2024-07-26 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-26 16:00,2024-07-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-29 16:00,2024-07-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-30 07:00,2024-07-30 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-30 16:00,2024-07-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-07-31 16:00,2024-07-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-01 07:00,2024-08-01 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-01 16:00,2024-08-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-02 07:00,2024-08-02 09:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-02 16:00,2024-08-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-23 07:00,2024-07-23 10:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-23 13:00,2024-07-23 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-24 07:00,2024-07-24 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-25 07:00,2024-07-25 10:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-25 15:00,2024-07-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-26 07:00,2024-07-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-29 07:00,2024-07-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-30 07:00,2024-07-30 10:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-30 13:00,2024-07-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-07-31 07:00,2024-07-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-08-01 07:00,2024-08-01 10:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-08-01 15:00,2024-08-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-22 07:00,2024-07-22 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-22 16:30,2024-07-22 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-23 07:00,2024-07-23 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-23 16:30,2024-07-23 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-24 07:00,2024-07-24 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-24 16:30,2024-07-24 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-25 07:00,2024-07-25 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-25 16:30,2024-07-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-26 07:00,2024-07-26 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-26 16:30,2024-07-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-29 16:30,2024-07-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-30 07:00,2024-07-30 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-30 16:30,2024-07-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-07-31 16:30,2024-07-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-01 07:00,2024-08-01 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-01 16:30,2024-08-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-02 07:00,2024-08-02 09:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-02 16:30,2024-08-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,121,General,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-23 07:00,2024-07-23 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-24 07:00,2024-07-24 13:30
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-24 17:00,2024-07-24 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-25 07:00,2024-07-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-26 07:00,2024-07-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-29 07:00,2024-07-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-30 07:00,2024-07-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-07-31 07:00,2024-07-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-08-01 07:00,2024-08-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,106,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-22 07:00,2024-07-22 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-22 16:30,2024-07-22 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-23 07:00,2024-07-23 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-23 16:30,2024-07-23 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-24 07:00,2024-07-24 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-24 16:30,2024-07-24 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-25 07:00,2024-07-25 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-25 16:30,2024-07-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-26 07:00,2024-07-26 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-26 16:30,2024-07-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-29 07:00,2024-07-29 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-29 16:30,2024-07-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-30 07:00,2024-07-30 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-30 16:30,2024-07-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-31 07:00,2024-07-31 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-07-31 16:30,2024-07-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-01 07:00,2024-08-01 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-01 16:30,2024-08-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-02 07:00,2024-08-02 09:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-02 16:30,2024-08-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,114,Restricted,2024-08-04 07:00,2024-08-04 22:00
