Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-11 12:00,2024-11-11 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-11 17:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-14 12:30,2024-11-14 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-14 20:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-15 11:00,2024-11-15 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-15 15:00,2024-11-15 16:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-15 17:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-18 07:00,2024-11-18 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-18 12:00,2024-11-18 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-18 17:00,2024-11-18 17:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-18 19:30,2024-11-18 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-19 07:00,2024-11-19 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-19 12:30,2024-11-19 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-19 18:30,2024-11-19 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-20 07:00,2024-11-20 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-20 12:00,2024-11-20 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-20 17:00,2024-11-20 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-21 07:00,2024-11-21 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-21 12:30,2024-11-21 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-21 20:00,2024-11-21 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-22 07:00,2024-11-22 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-22 11:00,2024-11-22 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-22 15:00,2024-11-22 16:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-22 17:00,2024-11-22 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-11-23 07:00,2024-11-23 22:00
